iter	RMSE
296	4.41399067
297	4.413766084
298	4.409606574
299	4.403238226
300	4.401300739
301	4.399062983
302	4.392984592
303	4.387812351
304	4.386207111
305	4.382322675
306	4.380267234
307	4.374757894
308	4.374548632
309	4.36719407
310	4.361865672
311	4.358920127
312	4.358759025
313	4.354841035
314	4.350065689
315	4.348423031
316	4.343948083
317	4.340960332
318	4.339370898
319	4.333199346
320	4.330556833
321	4.328674863
322	4.327468353
323	4.325887505
324	4.322946277
325	4.320924906
326	4.318507299
327	4.314541668
328	4.310712375
329	4.305336061
330	4.299291596
331	4.298927747
332	4.296459224
333	4.295336366
334	4.291417818
335	4.28823422
336	4.283996847
337	4.281773203
338	4.277007393
339	4.272121418
340	4.270118675
341	4.267286528
342	4.264976049
343	4.263760056
344	4.259166373
345	4.255874813
346	4.255102189
347	4.248524022
348	4.243981777
349	4.243627288
350	4.239824663
351	4.235300063
352	4.234159846
353	4.232252023
354	4.230402475
355	4.2267076
356	4.224531003
357	4.222635659
358	4.218818432
359	4.215500652
360	4.21089053
361	4.206548464
362	4.202974034
363	4.198629569
364	4.194476849
365	4.190807886
366	4.18942271
367	4.188166189
368	4.184305272
369	4.181333678
370	4.180291879
371	4.176417664
372	4.171745888
373	4.167956273
374	4.165418139
375	4.161314741
376	4.157548961
377	4.157094599
378	4.152977102
379	4.151611549
380	4.147122821
381	4.143579572
382	4.143323917
383	4.138982556
384	4.135478121
385	4.133561581
386	4.130049162
387	4.125631391
388	4.124602573
389	4.118642029
390	4.117506631
391	4.115607354
392	4.11196244
393	4.110891142
394	4.106388993
395	4.105653158
396	4.101528001
397	4.097213227
398	4.094952925
399	4.090926035
400	4.08847547
401	4.087308302
402	4.08337571
403	4.081602584
404	4.078371259
405	4.074618606
406	4.073525242
407	4.069191389
408	4.067989084
409	4.064425439
410	4.060242133
411	4.060047954
412	4.058174378
413	4.055084537
414	4.05063349
415	4.049586405
416	4.04653377
417	4.043966197
418	4.043227635
419	4.039212429
420	4.035711904
421	4.031757029
422	4.031558838
423	4.030589584
424	4.028219683
425	4.024404633
426	4.022202594
427	4.021490137
428	4.021320441
429	4.019739783
430	4.01825898
431	4.01578198
432	4.014102411
433	4.009873321
434	4.007707095
435	4.004698186
436	4.002503482
437	3.998555409
438	3.996385178
439	3.993155989
440	3.989865202
441	3.986070134
442	3.985925048
443	3.984416115
444	3.982227288
445	3.978407014
446	3.974768805
447	3.970831238
448	3.969842124
449	3.966546635
450	3.963115971
451	3.959160726
452	3.95515621
453	3.952525237
454	3.948930481
455	3.94536585
456	3.943683183
457	3.939475016
458	3.935045516
459	3.930844942
460	3.925701882
461	3.92560234
462	3.92539757
463	3.922946817
464	3.918391376
465	3.917534795
466	3.917354967
467	3.91571428
468	3.911441607
469	3.907501342
470	3.901659747
471	3.89771987
472	3.892971004
473	3.890455382
474	3.889074244
475	3.88715218
476	3.882534828
477	3.880646497
478	3.877681251
479	3.875538655
480	3.871175051
481	3.870700697
482	3.869145217
483	3.864955097
484	3.861140849
485	3.860641355
486	3.856874376
487	3.856759305
488	3.854676608
489	3.853858671
490	3.852891299
491	3.849782695
492	3.847052568
493	3.845701273
494	3.842507173
495	3.840059199
496	3.837659104
497	3.83428133
498	3.830750671
499	3.828363364
500	3.825692342
501	3.822360637
502	3.821341485
503	3.817508326
504	3.815999114
505	3.812103273
506	3.810566375
507	3.809810835
508	3.806960538
509	3.803656013
510	3.801967208
511	3.799893648
512	3.796323841
513	3.793273317
514	3.791052707
515	3.788155838
516	3.787756001
517	3.78535424
518	3.782668319
519	3.780196818
520	3.775331684
521	3.77212721
522	3.770893822
523	3.765114605
524	3.760393845
525	3.757809365
526	3.755238418
527	3.753155594
528	3.751291209
529	3.74797156
530	3.744017086
531	3.739721211
532	3.739147148
533	3.737339085
534	3.736611273
535	3.734148656
536	3.733812091
537	3.732516523
538	3.729745803
539	3.727420032
540	3.724030201
541	3.72387317
542	3.719842235
543	3.718063576
544	3.717085482
545	3.715472451
546	3.712828452
547	3.709226812
548	3.708720245
549	3.704640091
550	3.701859824
551	3.698992277
552	3.695654905
553	3.693556342
554	3.691519788
555	3.688511734
556	3.687763379
557	3.686838382
558	3.683421775
559	3.68098876
560	3.676105704
561	3.675106368
562	3.672505255
563	3.670915523
564	3.669364153
565	3.664938526
566	3.664362292
567	3.660163885
568	3.65801965
569	3.654992717
570	3.654128003
571	3.652692624
572	3.649190735
573	3.64695518
574	3.645769245
575	3.642573385
576	3.640806973
577	3.637900329
578	3.635661815
579	3.635016267
580	3.630621898
581	3.627449283
582	3.625938316
583	3.624432881
584	3.623163899
585	3.619677784
586	3.619022998
587	3.617532779
588	3.614276247
589	3.612014899
590	3.610998186
591	3.608562748
592	3.606855448
593	3.603592498
594	3.600888191
595	3.59779523
596	3.594097971
597	3.590892495
598	3.587087043
599	3.584082231
600	3.581966624
601	3.57930357
602	3.575650906
603	3.573716345
604	3.571594737
605	3.569317134
606	3.568243264
607	3.566955561
608	3.564364437
609	3.563776243
610	3.560890511
611	3.558384249
612	3.556565401
613	3.553823902
614	3.552044529
615	3.55062674
616	3.548283132
617	3.544561038
618	3.542343324
619	3.54061894
620	3.537649679
621	3.535233763
622	3.533955597
623	3.533339065
624	3.531085643
625	3.529280186
626	3.528435329
627	3.526949128
628	3.525291879
629	3.523367997
630	3.521547926
631	3.519610672
632	3.517053081
633	3.515369403
634	3.513539968
635	3.512575696
636	3.51111184
637	3.508198683
638	3.505385947
639	3.504955842
640	3.503039576
641	3.499385136
642	3.496672941
643	3.495075664
644	3.493479099
645	3.490575187
646	3.489089466
647	3.488409462
648	3.484790855
649	3.481856194
650	3.478248599
651	3.475983488
652	3.471871746
653	3.470446239
654	3.469331138
655	3.466421277
656	3.465154531
657	3.463648025
658	3.462118187
659	3.459253321
660	3.458361931
661	3.454941777
662	3.454035185
663	3.453430256
664	3.450712493
665	3.448326714
666	3.447108402
667	3.446310066
668	3.442239162
669	3.438992752
670	3.437317914
671	3.435346147
672	3.43329049
673	3.430651105
674	3.429792151
675	3.426669873
676	3.424281806
677	3.423878154
678	3.419899951
679	3.41928885
680	3.416617548
681	3.41472708
682	3.412309219
683	3.409877913
684	3.407949662
685	3.404986095
686	3.401509363
687	3.400279868
688	3.399311537
689	3.396993011
690	3.39644139
691	3.394708697
692	3.39209942
693	3.389762484
694	3.389253602
695	3.386927503
696	3.384546893
697	3.381638084
698	3.379996637
699	3.377266536
700	3.372994025
701	3.37048068
702	3.368819809
703	3.366957645
704	3.364393159
705	3.363413124
706	3.362085773
707	3.360852776
708	3.359307775
709	3.357574346
710	3.357063628
711	3.355395413
712	3.352454997
713	3.351078332
714	3.34993037
715	3.346654942
716	3.346204799
717	3.345741216
718	3.344897227
719	3.343499539
720	3.339266487
721	3.336844224
722	3.33553251
723	3.335007681
724	3.332734012
725	3.330517452
726	3.327744941
727	3.325359317
728	3.323645634
729	3.320667461
730	3.318275208
731	3.314813247
732	3.313161317
733	3.310186862
734	3.305571343
735	3.30278403
736	3.300184319
737	3.297329993
738	3.29603597
739	3.294091234
740	3.294062786
741	3.292677001
742	3.290579436
743	3.288270933
744	3.287833579
745	3.287124994
746	3.286189134
747	3.285510926
748	3.283967852
749	3.282465838
750	3.281121295
751	3.278717276
752	3.276247864
753	3.274216394
754	3.270631344
755	3.270436319
756	3.269001019
757	3.265437821
758	3.263094285
759	3.262268841
760	3.260593882
761	3.260262249
762	3.259851037
763	3.257459647
764	3.255973789
765	3.253449156
766	3.251832163
767	3.251338622
768	3.2493483
769	3.248458044
770	3.248120972
771	3.244237594
772	3.24115081
773	3.24084368
774	3.239492317
775	3.23825966
776	3.235698645
777	3.233057153
778	3.231997616
779	3.230942842
780	3.23031252
781	3.228309698
782	3.227850879
783	3.227532601
784	3.225252236
785	3.224831921
786	3.224747665
787	3.22265024
788	3.221652481
789	3.221345483
790	3.219053888
791	3.218739071
792	3.216291979
793	3.213862965
794	3.212466399
795	3.210725154
796	3.20814383
797	3.207915055
798	3.207057291
799	3.20501683
800	3.203511949
801	3.200108633
802	3.197490846
803	3.194266721
804	3.192507529
805	3.191314601
806	3.189312285
807	3.189287644
808	3.188866075
809	3.187159319
810	3.186734935
811	3.18529581
812	3.183525008
813	3.181668503
814	3.180583255
815	3.178655853
816	3.177015269
817	3.175438797
818	3.17343136
819	3.172909176
820	3.17132003
821	3.17054841
822	3.169999844
823	3.169365104
824	3.167329105
825	3.167274372
826	3.166687323
827	3.165924315
828	3.164718046
829	3.163168907
830	3.160212232
831	3.157549453
832	3.156615292
833	3.154626213
834	3.152665468
835	3.151580214
836	3.150893167
837	3.149223392
838	3.148600706
839	3.146298976
840	3.1446891
841	3.142368436
842	3.141962365
843	3.139988727
844	3.138650003
845	3.138488055
846	3.136666794
847	3.136243441
848	3.135111742
849	3.133645426
850	3.13167773
851	3.13046664
852	3.130236913
853	3.128504648
854	3.128262283
855	3.126719503
856	3.125882806
857	3.125236857
858	3.122870014
859	3.12002433
860	3.118470239
861	3.116620262
862	3.115435702
863	3.112969983
864	3.111450308
865	3.111241335
866	3.108978466
867	3.107421624
868	3.107365696
869	3.10415345
870	3.103366611
871	3.101888308
872	3.099555301
873	3.097893935
874	3.095843302
875	3.094053288
876	3.093652401
877	3.093608063
878	3.092951846
879	3.09226836
880	3.09180535
881	3.09176075
882	3.090539081
883	3.087938875
884	3.086405849
885	3.085232016
886	3.084314131
887	3.083408318
888	3.083304346
889	3.081360178
890	3.080305294
891	3.079225521
892	3.076014258
893	3.074548035
894	3.074148905
895	3.072156165
896	3.070157421
897	3.069023323
898	3.067339485
899	3.065247802
900	3.062755555
901	3.0601436
902	3.058529281
903	3.057472192
904	3.056567386
905	3.055149524
906	3.053659875
907	3.050847497
908	3.049743974
909	3.048773172
910	3.047612938
911	3.04675468
912	3.046142097
913	3.045891817
914	3.043609377
915	3.04216873
916	3.041352009
917	3.040402632
918	3.039450109
919	3.037883972
920	3.037372473
921	3.034271685
922	3.033347258
923	3.031763462
924	3.030363291
925	3.028137024
926	3.027667155
927	3.026093208
928	3.025278859
929	3.024558064
930	3.022269735
931	3.021980607
932	3.021870782
933	3.020065334
934	3.018446936
935	3.016734083
936	3.014743037
937	3.014481466
938	3.013520534
939	3.011349138
940	3.01123425
941	3.009603027
942	3.009004307
943	3.007296263
944	3.00507888
945	3.004872109
946	3.004298525
947	3.003600869
948	3.003499574
949	3.003135873
950	3.002388322
951	3.002236885
952	3.000215329
953	2.998742692
954	2.996535299
955	2.995741023
956	2.993783618
957	2.992787102
958	2.99257115
959	2.990858096
960	2.989166865
961	2.989038457
962	2.987613465
963	2.986259501
964	2.983178437
965	2.982812511
966	2.980674887
967	2.978220925
968	2.978068629
969	2.9765222
970	2.974176917
971	2.972123176
972	2.970169654
973	2.96891642
974	2.967687242
975	2.96685325
976	2.966000538
977	2.965765562
978	2.965675792
979	2.964162842
980	2.963126007
981	2.962258112
982	2.960094758
983	2.958798614
984	2.957575883
985	2.955709524
986	2.954849349
987	2.952634671
988	2.952420774
989	2.949900665
990	2.94853615
991	2.945947444
992	2.944752622
993	2.94467753
994	2.944616045
995	2.943536832
996	2.942211534
997	2.939954305
998	2.93848411
999	2.936450341
